days_late_int,orders,avg_score,pct_neg
-10,568,4.305,8.803
-9,4573,4.327,8.222
-8,4562,4.284,9.272
-7,4818,4.265,9.61
-6,4770,4.249,9.266
-5,3448,4.242,9.397
-4,2057,4.201,10.695
-3,1892,4.132,11.099
-2,1685,4.125,10.92
-1,1517,4.148,11.14
0,1446,4.136,11.272
1,1243,3.999,13.033
2,770,3.704,20.519
3,512,3.056,37.305
4,504,2.624,51.389
5,460,2.497,54.783
6,426,2.129,64.319
7,430,1.831,73.721
8,460,1.837,73.478
9,327,1.72,76.758
10,219,1.725,77.169
11,207,1.623,81.159
12,172,1.635,79.651
13,157,1.7,75.159
14,196,1.745,76.531
15,182,1.564,81.319
16,142,1.777,76.056
17,92,1.591,78.261
18,88,1.591,80.682
19,77,1.726,74.026
20,74,1.643,78.378
21,91,1.632,81.319
22,79,1.623,82.278
23,65,1.77,73.846
24,39,1.405,84.615
25,43,1.5,79.07
