seller_state,customer_state,orders,late_orders,median_days,avg_score,late_rate_pct
BA,SP,137,7,9.787,4.19,5.11
DF,MG,101,1,8.221,4.0,0.99
DF,SP,301,9,9.382,4.163,2.99
GO,SP,125,5,10.02,4.352,4.0
MA,SP,118,31,13.945,3.863,26.27
MG,BA,361,38,14.953,4.095,10.53
MG,DF,183,6,10.869,4.275,3.28
MG,ES,170,8,13.101,4.165,4.71
MG,GO,148,4,12.496,4.143,2.7
MG,MG,1496,47,7.357,4.358,3.14
MG,PE,107,9,14.313,4.393,8.41
MG,PR,359,7,11.812,4.307,1.95
MG,RJ,1133,106,11.367,4.126,9.36
MG,RS,278,14,15.589,4.217,5.04
MG,SC,251,22,15.28,4.117,8.76
MG,SP,2534,108,9.209,4.233,4.26
PE,SP,103,3,10.247,4.359,2.91
PR,BA,142,24,18.259,3.821,16.9
PR,DF,143,6,11.952,4.21,4.2
PR,ES,106,10,15.748,4.096,9.43
PR,MG,810,43,12.28,4.22,5.31
PR,PR,699,30,7.258,4.389,4.29
PR,RJ,963,135,14.097,3.883,14.02
PR,RS,580,30,12.137,4.271,5.17
PR,SC,380,26,11.645,4.317,6.84
PR,SP,2898,101,9.505,4.261,3.49
RJ,BA,131,15,14.415,4.194,11.45
RJ,GO,104,8,13.871,4.184,7.69
RJ,MG,541,40,10.219,4.269,7.39
RJ,PR,202,18,10.954,4.07,8.91
RJ,RJ,934,62,5.141,4.367,6.64
RJ,RS,196,19,13.83,4.179,9.69
RJ,SC,112,12,12.192,4.234,10.71
RJ,SP,1305,120,9.422,4.149,9.2
RS,MG,184,5,11.096,4.448,2.72
RS,PR,135,7,8.267,4.343,5.19
RS,RJ,241,21,11.089,4.111,8.71
RS,RS,283,15,5.93,4.567,5.3
RS,SC,117,0,7.896,4.538,0.0
RS,SP,651,14,8.462,4.355,2.15
SC,MG,424,22,13.089,4.088,5.19
SC,PR,279,9,9.733,4.385,3.23
SC,RJ,465,48,13.027,3.957,10.32
SC,RS,283,18,11.394,4.295,6.36
SC,SC,249,16,6.964,4.391,6.43
SC,SP,1292,57,10.307,4.22,4.41
SP,AL,253,66,22.967,3.733,26.09
SP,BA,2272,341,17.709,3.869,15.01
SP,CE,948,148,18.429,3.964,15.61
SP,DF,1349,114,11.823,4.077,8.45
SP,ES,1441,206,13.668,4.048,14.3
SP,GO,1390,129,14.104,4.057,9.28
SP,MA,475,103,19.682,3.712,21.68
SP,MG,7297,470,10.843,4.149,6.44
SP,MS,471,69,14.033,4.083,14.65
SP,MT,635,43,15.872,4.17,6.77
SP,PA,668,89,20.924,3.879,13.32
SP,PB,329,36,18.758,4.062,10.94
SP,PE,1110,122,16.051,4.038,10.99
SP,PI,325,60,16.825,3.96,18.46
SP,PR,3046,167,11.147,4.198,5.48
SP,RJ,8017,1260,12.89,3.889,15.72
SP,RN,323,39,18.015,4.118,12.07
SP,RO,168,5,18.035,4.228,2.98
SP,RS,3508,273,13.962,4.127,7.78
SP,SC,2281,256,13.92,4.036,11.22
SP,SE,204,34,17.829,3.814,16.67
SP,SP,30146,1905,6.608,4.249,6.32
SP,TO,193,25,15.949,4.104,12.95
