category,revenue,items,median_price,median_freight,median_fr,median_weight,rev_share_pct,rank_revenue,rank_freight,action
audio,50413.61,360,89.0,15.23,0.182,400.0,0.41,30,29,MONITOR
auto,577838.39,4132,84.95,17.6,0.2197,900.0,4.72,9,18,MONITOR
baby,399050.67,2971,77.98,17.0,0.224,700.0,3.26,12,16,MONITOR
bed_bath_table,1022955.77,10945,79.57,16.19,0.2185,1275.0,8.36,3,20,MONITOR
books_general_interest,45302.15,537,45.0,15.56,0.261,500.0,0.37,31,11,MONITOR
computers_accessories,888055.59,7632,81.99,15.98,0.2084,300.0,7.26,5,24,MONITOR
consoles_games,144384.01,1082,53.89,15.1,0.278,227.5,1.18,23,8,MONITOR
construction_tools_construction,142108.49,916,86.6,17.32,0.2208,1200.0,1.16,24,17,MONITOR
construction_tools_lights,39957.0,301,100.0,18.42,0.1991,1050.0,0.33,32,26,MONITOR
cool_stuff,609158.0,3711,129.9,17.65,0.1566,1450.0,4.98,8,33,GROW
drinks,21529.84,361,47.49,15.1,0.3153,333.0,0.18,34,3,MONITOR
electronics,154935.94,2728,21.89,15.1,0.627,200.0,1.27,21,1,REPRICE/KILL
fashion_bags_accessories,148945.19,1976,49.0,15.1,0.2747,200.0,1.22,22,9,MONITOR
food,28651.25,498,48.945,12.94,0.2821,330.0,0.23,33,7,MONITOR
furniture_decor,706237.17,8095,65.49,16.35,0.2701,1300.0,5.77,6,10,MONITOR
furniture_living_room,67350.7,495,103.97,25.84,0.2607,7500.0,0.55,28,12,MONITOR
garden_tools,469135.4,4263,59.9,17.67,0.295,1650.0,3.83,10,5,MONITOR
health_beauty,1229557.5,9422,79.9,15.79,0.2098,400.0,10.05,1,23,MONITOR
home_appliances,78832.48,754,47.59,16.11,0.3094,475.0,0.64,27,4,MONITOR
home_confort,58008.45,429,89.9,16.83,0.1568,1825.0,0.47,29,32,MONITOR
home_construction,81407.57,596,95.2,17.095,0.196,900.0,0.67,26,27,MONITOR
housewares,614341.62,6783,59.7,16.75,0.2905,1200.0,5.02,7,6,MONITOR
luggage_accessories,138701.63,1077,99.99,18.45,0.2297,1250.0,1.13,25,14,MONITOR
musical_instruments,184315.74,651,94.9,18.23,0.1678,850.0,1.51,18,31,MONITOR
office_furniture,266853.43,1662,144.94,34.15,0.2436,10975.0,2.18,15,13,MONITOR
perfumery,385315.55,3311,84.99,15.14,0.1713,400.0,3.15,13,30,GROW
pet_shop,211005.96,1920,89.7,16.68,0.2127,850.0,1.72,17,22,MONITOR
small_appliances,182754.12,658,98.36,17.93,0.1884,1100.0,1.49,19,28,MONITOR
sports_leisure,952840.4,8414,77.9,16.26,0.218,700.0,7.78,4,21,MONITOR
stationery,223788.69,2466,79.0,16.32,0.2253,1000.0,1.83,16,15,MONITOR
telephony,309631.94,4422,29.99,15.1,0.4337,225.0,2.53,14,2,REPRICE/KILL
toys,467179.98,4006,79.9,16.11,0.2016,794.5,3.82,11,25,MONITOR
unknown,175901.32,1557,70.9,15.23,0.2197,450.0,1.44,20,18,MONITOR
watches_gifts,1163465.91,5855,128.9,15.8,0.1156,346.0,9.51,2,34,GROW
