price_decile,min_price,max_price,median_price,median_freight,median_fr,items,revenue,rev_share_pct
1,0.85,23.8,17.0,14.1,0.7849,10993,181603.89,1.38
2,23.89,34.9,29.0,14.52,0.4903,11434,330206.16,2.51
3,34.92,47.49,39.9,15.1,0.3637,10604,430410.41,3.27
4,47.5,59.0,50.99,15.14,0.288,11143,586427.65,4.45
5,59.1,74.9,65.99,16.18,0.2457,10843,713547.87,5.41
6,74.98,94.99,84.9,16.32,0.1932,10938,922896.91,7.0
7,95.0,119.6,104.99,17.395,0.1648,10966,1159324.57,8.8
8,119.7,150.0,134.9,18.64,0.1402,11215,1512766.67,11.48
9,150.24,228.0,179.99,19.2,0.1073,10761,1983476.38,15.05
10,228.09,6735.0,349.0,23.6,0.0643,10983,5360366.62,40.67
